Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
77,Bruce Willis,"March 19, 1955",5′ 11½″ (1.82 m),"['Actor', 'Producer', 'Writer']",22 wins & 54 nominations total,Die Hard (1988),"Idar-Oberstein, West Germany"
78,Lily James,"April 5, 1989",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Soundtrack']",5 wins & 16 nominations total,Cinderella (2015),"Esher, Surrey, England, UK"
79,Vanessa Kirby,"April 18, 1988",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Soundtrack']",5 wins & 46 nominations total,The Crown (2016–2022),"London, England, UK"
80,Maria Sten,October 29,5′ 10″ (1.78 m),"['Actress', 'Writer', 'Producer']",,Reacher (2022–2024),"Copenhagen, Denmark"
81,Anita Dobson,"April 29, 1949",5′ 3″ (1.60 m),['Actress'],,Red Dwarf (1993– ),"Stepney, London, England, UK"
82,Rebecca Ferguson,"October 19, 1983",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Soundtrack']",9 wins & 20 nominations,The Greatest Showman (2017),Sweden
83,Rosemary Clooney,"May 23, 1928",5′ 6″ (1.68 m),"['Actress', 'Writer', 'Music Department']",1 win & 3 nominations total,White Christmas (1954),"Maysville, Kentucky, USA"
84,Tom Hanks,"July 9, 1956",6′ (1.83 m),"['Producer', 'Actor', 'Writer']",96 wins & 209 nominations total,Cast Away (2000),"Concord, California, USA"
85,Amber Heard,"April 22, 1986",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Additional Crew']",4 wins & 5 nominations,Aquaman (2018),"Austin, Texas, USA"
86,Ana de Armas,"April 30, 1988",5′ 6¼″ (1.68 m),"['Actress', 'Producer']",11 wins & 34 nominations total,Blade Runner 2049 (2017),"Havana, Cuba"
87,Jennifer Connelly,"December 12, 1970",5′ 6½″ (1.69 m),"['Actress', 'Producer']",16 wins & 29 nominations total,A Beautiful Mind (2001),"Cairo, New York, USA"
88,Keira Knightley,"March 26, 1985",5′ 7″ (1.70 m),"['Actress', 'Producer', 'Camera and Electrical Department']",28 wins & 109 nominations total,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Teddington, Middlesex, England, UK"
89,Christine Baranski,"May 2, 1952",5′ 9¾″ (1.77 m),"['Actress', 'Producer', 'Soundtrack']",18 wins & 78 nominations total,Mamma Mia! (2008),"Buffalo, New York, USA"
90,Ncuti Gatwa,"October 15, 1992",,['Actor'],4 wins & 16 nominations total,Sex Education (2019–2023),"Nyarugenge, Kigali, Rwanda"
91,Elizabeth Perkins,"November 18, 1960",5′ 8″ (1.73 m),"['Actress', 'Producer']",1 win & 20 nominations total,Sharp Objects (2018– ),"Queens, New York City, New York, USA"
92,Bonnie Bedelia,"March 25, 1948",5′ 4″ (1.63 m),"['Actress', 'Soundtrack']",3 wins & 5 nominations total,Die Hard (1988),"New York City, New York, USA"
93,Ryan Gosling,"November 12, 1980",6′ 0½″ (1.84 m),"['Actor', 'Producer', 'Director']",43 wins & 193 nominations total,Blue Valentine (2010),"London, Ontario, Canada"
94,Jennifer Jason Leigh,"February 5, 1962",5′ 3″ (1.60 m),"['Actress', 'Producer', 'Writer']",29 wins & 70 nominations total,The Hateful Eight (2015),"Hollywood, Los Angeles, California, USA"
95,Harrison Ford,"July 13, 1942",6′ 1″ (1.85 m),"['Actor', 'Writer', 'Producer']",45 wins & 58 nominations total,Raiders of the Lost Ark (1981),"Chicago, Illinois, USA"
96,Kristin Minter,"November 22, 1965",5′ 8″ (1.73 m),['Actress'],1 nomination,ER (1995–2003),"Miami, Florida, USA"
97,Zac Efron,"October 18, 1987",5′ 8″ (1.73 m),"['Actor', 'Producer', 'Soundtrack']",35 wins & 44 nominations,17 Again (2009),"San Luis Obispo, California, USA"
98,Emma Corrin,"December 13, 1995",5′ 8″ (1.73 m),"['Actress', 'Music Department', 'Soundtrack']",10 wins & 10 nominations total,Lady Chatterley's Lover (2022),"Royal Tunbridge Wells, Kent, England, UK"
99,Kelly Reilly,"July 18, 1977",5′ 6″ (1.68 m),"['Actress', 'Producer']",7 wins & 12 nominations,Pride & Prejudice (2005),"Surrey, England, UK"
100,Kamar de los Reyes,"November 8, 1967",5′ 10″ (1.78 m),"['Actor', 'Writer', 'Producer']",1 win & 6 nominations,Sleepy Hollow (2017– ),"San Juan, Puerto Rico"
